,MI_score,XGB_importance,MI_rank,XGB_rank,avg_rank,selected
FLAG_DOCUMENT_14,1.2724457967294711e-05,0.002985651,147.0,145.0,146.0,False
AMT_REQ_CREDIT_BUREAU_HOUR,0.00042908502005856164,0.0,139.0,157.5,148.25,False
REG_REGION_NOT_LIVE_REGION,0.0,0.0034379556,155.5,141.0,148.25,False
FLAG_DOCUMENT_10,0.0002816860209604588,0.0,141.0,157.5,149.25,False
AMT_GOODS_PRICE_isnan,0.00021279278327690498,0.0,142.0,157.5,149.75,False
FLAG_DOCUMENT_7,0.00018493913588657485,0.0,143.0,157.5,150.25,False
FLAG_DOCUMENT_4,8.558522757406983e-05,0.0,146.0,157.5,151.75,False
FLAG_DOCUMENT_5,0.0,0.0024773704,155.5,148.0,151.75,False
HOUSETYPE_MODE,0.0,0.0024755064,155.5,149.0,152.25,False
AMT_ANNUITY_isnan,0.0,0.0,155.5,157.5,156.5,False
FLAG_DOCUMENT_2,0.0,0.0,155.5,157.5,156.5,False
FLAG_DOCUMENT_19,0.0,0.0,155.5,157.5,156.5,False
FLAG_DOCUMENT_17,0.0,0.0,155.5,157.5,156.5,False
FLAG_DOCUMENT_20,0.0,0.0,155.5,157.5,156.5,False
FLAG_DOCUMENT_12,0.0,0.0,155.5,157.5,156.5,False
