,MI_score,XGB_importance,MI_rank,XGB_rank,avg_rank,selected
V324,0.00072401323670368,0.0014597087,357.0,168.0,262.5,False
V213,0.013319673998095416,0.00039724642,203.0,324.0,263.5,False
FE_day,0.0036054226749386853,0.0010842854,310.0,222.0,266.0,False
V42,0.01022735137983588,0.000524598,231.0,304.0,267.5,False
V323,0.0009395427020451041,0.0013190297,352.0,183.0,267.5,False
V131,0.004273761046798663,0.00092974067,298.0,240.0,269.0,False
V146,0.0019835739280464892,0.0011533914,330.0,210.0,270.0,False
V142,0.0006006610697402159,0.0013564886,365.0,175.0,270.0,False
id_04,0.00048431070533716536,0.001428129,371.0,170.0,270.5,False
V288,0.007115575004618124,0.0006094258,255.0,287.0,271.0,False
FE_is_weekend,0.027085734795426974,0.0,166.0,376.0,271.0,False
V183,0.0037387348308128843,0.00095585635,307.0,237.0,272.0,False
V277,0.007765512577540878,0.00058306765,251.0,293.0,272.0,False
V232,0.014462701843160453,0.00012297218,194.0,351.0,272.5,False
V161,0.0009101892334899553,0.0012735724,353.0,192.0,272.5,False
V214,0.004578252854490872,0.0008316327,294.0,251.0,272.5,False
V218,0.014068196659587917,0.00017741826,198.0,348.0,273.0,False
V280,0.0040313092998320865,0.00083933596,300.0,246.0,273.0,False
V172,0.00032637494001019896,0.0013292562,379.0,178.0,278.5,False
V40,0.011413425149957357,0.00027542864,218.0,340.0,279.0,False
V31,0.010915460031845958,0.00030128984,222.0,336.0,279.0,False
V300,0.00034745035384808887,0.0013073302,378.0,185.0,281.5,False
V144,0.0017014859392190385,0.0010051694,333.0,230.0,281.5,False
V270,0.005220132481312811,0.00065608637,281.0,282.0,281.5,False
V223,0.0004496536903735304,0.0012428375,372.0,196.0,284.0,False
V224,0.0020803315684179147,0.0008959263,327.0,242.0,284.5,False
V206,0.0012820843737166854,0.0010363611,341.0,229.0,285.0,False
V210,0.004511032378475832,0.00070392416,295.0,277.0,286.0,False
V293,0.003638961927573625,0.00077389076,308.0,265.0,286.5,False
V21,0.010232300171522546,0.00024947958,230.0,343.0,286.5,False
V134,0.008707645043972478,0.0003494246,243.0,331.0,287.0,False
V135,0.0011354698497207938,0.0009916031,344.0,232.0,288.0,False
id_28,0.0037804966889545266,0.0007287967,304.0,273.0,288.5,False
V15,0.01060031131034389,8.7607026e-05,225.0,353.0,289.0,False
V167,0.010835959390320449,3.6554426e-05,223.0,357.0,290.0,False
V177,0.010502318355811502,0.000108313165,228.0,352.0,290.0,False
V267,0.00554563119256013,0.00048356873,275.0,310.0,292.5,False
V97,0.0043065615603841145,0.0005844418,297.0,290.0,293.5,False
V180,0.0038413768575362717,0.0006163501,303.0,286.0,294.5,False
V327,3.6249231113227864e-05,0.001182207,384.0,205.0,294.5,False
V234,0.005210270220020297,0.0004937328,282.0,308.0,295.0,False
V301,0.0005268304191266004,0.0010915812,370.0,221.0,295.5,False
V132,0.007002321065708195,0.00031491075,259.0,334.0,296.5,False
id_36,0.0005749423299015177,0.0010615463,367.0,226.0,296.5,False
V208,0.004717975023122101,0.0005370174,292.0,302.0,297.0,False
V238,0.003316010520961976,0.0006373395,312.0,283.0,297.5,False
V173,0.0,0.0011609643,388.5,207.0,297.75,False
V92,0.011078563013032117,0.0,220.0,376.0,298.0,False
V220,0.0010749657103239496,0.0008146265,345.0,254.0,299.5,False
V325,0.00041900382563886396,0.0010620785,375.0,225.0,300.0,False
V239,0.003843142863634297,0.0005457133,302.0,300.0,301.0,False
V297,0.0008064694403044914,0.0008292678,356.0,252.0,304.0,False
V138,0.0005640471737378139,0.0008359607,368.0,248.0,308.0,False
V237,0.004349943548829671,0.00040059115,296.0,323.0,309.5,False
V322,0.0,0.0009830359,388.5,233.0,310.75,False
V181,0.003304974621674006,0.0004782678,313.0,313.0,313.0,False
V104,0.0006428849687547533,0.0007743888,363.0,263.0,313.0,False
V184,0.0028659355646942775,0.0004880677,318.0,309.0,313.5,False
V105,0.000987545707369808,0.00062766473,350.0,285.0,317.5,False
V169,0.0010464757898223098,0.0005889027,348.0,289.0,318.5,False
FE_P_email_is_proton,0.0,0.0008348892,388.5,249.0,318.75,False
V147,0.002295291248346043,0.0004489968,324.0,315.0,319.5,False
V299,0.0006745069704001683,0.00069581275,362.0,279.0,320.5,False
V101,0.00522232946838308,0.0,280.0,376.0,328.0,False
FE_R_email_is_proton,0.00036616900465080704,0.000666785,376.0,281.0,328.5,False
V236,0.0051960162462558745,0.0,283.0,376.0,329.5,False
V319,0.0011751472290011389,0.00044149824,342.0,318.0,330.0,False
V106,0.0008177084806151314,0.0004960787,355.0,307.0,331.0,False
V98,0.0009424358812786249,0.00041475365,351.0,319.0,335.0,False
V227,0.001529258542688261,0.00034304784,338.0,332.0,335.0,False
V100,0.0026114983017846427,3.5079588e-06,321.0,360.0,340.5,False
V185,0.00375835028637006,0.0,306.0,376.0,341.0,False
V235,0.00328032003647194,0.0,314.0,376.0,345.0,False
V284,0.0023322949496145107,0.0,323.0,376.0,349.5,False
V329,2.7320519628393214e-05,0.00044435082,385.0,316.0,350.5,False
V175,0.0010569632178321076,0.0,347.0,376.0,361.5,False
V326,0.0004214282578280937,0.0001428045,374.0,350.0,362.0,False
id_10,0.0,0.00026500924,388.5,341.0,364.75,False
V334,0.0006849918796654197,0.0,360.0,376.0,368.0,False
V328,0.0002464169480502765,1.0597647e-05,381.0,359.0,370.0,False
V337,0.0003612741701348732,0.0,377.0,376.0,376.5,False
V68,5.361234268730364e-05,0.0,383.0,376.0,379.5,False
V89,0.0,0.0,388.5,376.0,382.25,False
V27,0.0,0.0,388.5,376.0,382.25,False
